Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow X,Elbow Y,Timestamp (microseconds),angles,Seconds,Shoulder Pink X meters,Hand Pink X meters,Elbow X meters,Shoulder Pink Y meters,Hand Pink Y meters,Elbow Y meters
1.0,290.1300964,1016.06665,734.7581177,1221.064941,465.1608582,1186.207275,1658965714000000.0,143.1788753709495,0.0,0.27749205571689756,0.7027521207387953,0.44489849340895293,-0.9718068788877341,-1.1678754629260248,-1.1345361936952405
2.0,289.6091003,1015.972717,734.7581177,1221.064941,465.0960083,1184.985474,1658965714016666.8,143.69726420546647,0.01666675,0.2769937541597569,0.7027521207387953,0.44483646836471474,-0.971717037600694,-1.1678754629260248,-1.1333676142359779
3.0,288.6436768,1016.198669,734.7207642,1221.090698,465.0607605,1184.427124,1658965714033333.2,144.10365229656148,0.03333325,0.27607038441984866,0.7027163943538672,0.44480275595568564,-0.9719331471520688,-1.167900097953441,-1.132833585911333
4.0,288.0688171,1016.871765,734.7648926,1221.007446,465.0607605,1184.427124,1658965714050000.0,144.2928132398791,0.05,0.2755205655562384,0.702758600524766,0.44480275595568564,-0.9725769231513616,-1.1678204724030097,-1.132833585911333
5.0,287.5450745,1017.109314,734.8421631,1221.051636,464.9014893,1184.2052,1658965714066666.5,144.47895863864426,0.0666665,0.2750196371363886,0.7028325051287947,0.444650422594711,-0.9728041245384683,-1.1678627374906179,-1.1326213289006435
6.0,287.2465515,1017.444031,734.8218994,1220.899536,464.9364319,1184.43811,1658965714083333.2,144.47141435074326,0.08333325,0.2747341177711913,0.7028131241137286,0.44468384309822445,-0.9731242612963086,-1.1677172629528216,-1.1328440933621695
7.0,287.2420349,1018.578247,734.8421631,1221.051636,464.9364319,1184.43811,1658965714100000.0,144.69809754173625,0.1,0.2747297979138776,0.7028325051287947,0.44468384309822445,-0.974209070950227,-1.1678627374906179,-1.1328440933621695
8.0,286.838623,1019.366516,734.9725952,1221.188721,464.6958008,1186.351563,1658965714116666.5,144.150422431574,0.1166665,0.27434395859965033,0.7029572556183494,0.4444536938671141,-0.9749630030240866,-1.1679938510804522,-1.134674196523048
9.0,287.1510315,1020.923828,734.946167,1221.292969,464.3778992,1187.395386,1658965714133333.5,143.93334100425272,0.1333335,0.27464275861372717,0.7029319786283442,0.44414964003197505,-0.9764524786546216,-1.168093558047028,-1.1356725506878473
10.0,287.3418884,1021.62146,734.946167,1221.292969,464.358551,1188.641479,1658965714150000.0,143.54491746788617,0.15,0.27482530180447473,0.7029319786283442,0.44413113463781206,-0.9771197218679799,-1.168093558047028,-1.1368643639897935
11.0,287.9153748,1023.069031,734.7816162,1221.426758,464.0396729,1190.960327,1658965714166666.8,142.7913950872531,0.16666675,0.27537380718890847,0.7027745956462669,0.44382614683892446,-0.978504236806521,-1.1682215192103231,-1.1390822031812433
12.0,288.368042,1024.884766,734.5420532,1221.809937,464.358551,1192.641479,1658965714183333.5,142.53381768416497,0.1833335,0.2758067562467354,0.7025454679888175,0.44413113463781206,-0.9802408785546161,-1.1685880069678392,-1.140690124352611
13.0,289.1691284,1026.055542,734.7193604,1222.764282,463.3794556,1195.186523,1658965714200000.0,141.65092024307194,0.2,0.27657294739581345,0.702715051703268,0.4431946885446278,-0.9813606556582508,-1.1695007807862026,-1.143124306466818
14.0,289.4418945,1028.022949,734.6740723,1223.022217,463.0443115,1197.5,1658965714216666.8,141.05664903806772,0.21666675,0.27683383182923854,0.7026717363487962,0.44287414329122476,-0.9832423625877832,-1.1697474801609984,-1.1453370086185406
