Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow Green X,Elbow Green Y,Timestamp (microseconds),angles,Seconds
1.0,360.837616,903.3290405,941.7753296,1117.191406,606.4680786,1102.384766,1660091102041670.0,143.5075909261612,0.0
2.0,360.837616,903.3290405,941.7753296,1117.191406,606.4680786,1102.384766,1660091102058336.8,143.5075909261612,0.01666675
3.0,360.9654236,903.1798096,941.6486206,1117.079468,606.4680786,1102.384766,1660091102075003.5,143.45385342960498,0.0333335
4.0,360.7982788,903.284668,941.6486206,1117.079468,606.4680786,1102.384766,1660091102091670.0,143.48768902233144,0.05
5.0,360.9654236,903.1798096,941.6486206,1117.079468,606.4680786,1102.384766,1660091102108336.8,143.45385342960498,0.06666675
6.0,360.9654236,903.1798096,941.7753296,1117.191406,606.4680786,1102.384766,1660091102125003.2,143.47199653663264,0.08333325
7.0,360.9654236,903.1798096,941.7753296,1117.191406,606.5617065,1102.561646,1660091102141670.0,143.4283347799431,0.1
8.0,360.825531,903.2354736,941.7753296,1117.191406,606.5617065,1102.561646,1660091102158336.8,143.45212623224825,0.11666675
9.0,360.9654236,903.1798096,941.7753296,1117.191406,606.5617065,1102.561646,1660091102175003.5,143.4283347799431,0.1333335
10.0,360.9656982,903.2318115,941.5933228,1117.019287,606.5617065,1102.561646,1660091102191670.2,143.4075926505228,0.15000025
11.0,360.9656982,903.2318115,941.5933228,1117.019287,606.5617065,1102.561646,1660091102208336.8,143.4075926505228,0.16666675
12.0,360.9656982,903.2318115,941.7753296,1117.191406,606.5617065,1102.561646,1660091102225003.5,143.43561654080182,0.1833335
13.0,360.9656982,903.2318115,941.7753296,1117.191406,606.5617065,1102.561646,1660091102241670.2,143.43561654080182,0.20000025
14.0,360.9820251,903.2794189,941.7753296,1117.191406,606.5617065,1102.561646,1660091102258336.8,143.4404492614809,0.21666675
15.0,360.973938,903.3305664,941.7753296,1117.191406,606.5617065,1102.561646,1660091102275003.5,143.4485682659732,0.2333335
16.0,361.0853271,903.3400269,941.7753296,1117.191406,606.6414185,1102.641479,1660091102291670.0,143.42202267779737,0.25
17.0,360.9395142,903.0745239,941.7753296,1117.191406,606.6414185,1102.641479,1660091102308336.8,143.4013410092596,0.26666675
18.0,361.2981873,903.4257813,941.7753296,1117.191406,606.6414185,1102.641479,1660091102325003.5,143.40977477332268,0.2833335
19.0,361.2981873,903.4257813,941.7753296,1117.191406,606.6414185,1102.641479,1660091102341670.0,143.40977477332268,0.3
20.0,361.2981873,903.4257813,941.7753296,1117.191406,606.6414185,1102.641479,1660091102358336.8,143.40977477332268,0.31666675
21.0,361.2981873,903.4257813,941.7753296,1117.191406,606.6414185,1102.641479,1660091102375003.2,143.40977477332268,0.33333325
22.0,361.2981873,903.4257813,941.7753296,1117.191406,606.6414185,1102.641479,1660091102391670.0,143.40977477332268,0.35
23.0,361.2981873,903.4257813,941.7753296,1117.191406,606.6414185,1102.641479,1660091102408336.8,143.40977477332268,0.36666675
24.0,361.2592468,903.3491821,941.7753296,1117.191406,606.6414185,1102.641479,1660091102425003.5,143.4034458648655,0.3833335
25.0,361.1673584,903.1385498,941.7753296,1117.191406,606.6414185,1102.641479,1660091102441670.2,143.38432360260816,0.40000025
26.0,361.2593994,903.0403442,941.618042,1117.381958,606.6414185,1102.641479,1660091102458336.8,143.3937004700979,0.41666675
27.0,361.2593994,903.0403442,941.7753296,1117.191406,606.6414185,1102.641479,1660091102475003.5,143.36000404607998,0.4333335
28.0,361.2593994,903.0403442,941.7753296,1117.191406,606.6414185,1102.641479,1660091102491670.2,143.36000404607998,0.45000025
29.0,361.1673584,903.1385498,941.618042,1117.381958,606.6414185,1102.641479,1660091102508336.8,143.4180200266261,0.46666675
30.0,361.2593994,903.0403442,941.8838501,1117.116211,606.6414185,1102.641479,1660091102525003.5,143.3463729079516,0.4833335
31.0,361.2593994,903.0403442,941.8838501,1117.116211,606.6414185,1102.641479,1660091102541670.0,143.3463729079516,0.5
32.0,361.5486145,902.9749756,941.7753296,1117.191406,606.6414185,1102.641479,1660091102558336.8,143.31773603513585,0.51666675
33.0,361.5486145,902.9749756,941.7753296,1117.191406,606.6414185,1102.641479,1660091102575003.5,143.31773603513585,0.5333335
34.0,361.5486145,902.9749756,941.7753296,1117.191406,606.6414185,1102.641479,1660091102591670.0,143.31773603513585,0.55
35.0,361.5486145,902.9749756,941.8838501,1117.116211,606.6414185,1102.641479,1660091102608336.8,143.30410489700745,0.56666675
36.0,361.5486145,902.9749756,941.7753296,1117.191406,606.6414185,1102.641479,1660091102625003.2,143.31773603513585,0.58333325
37.0,361.4024353,903.0244141,941.7753296,1117.191406,606.6414185,1102.641479,1660091102641670.0,143.34141026939182,0.6
38.0,361.7070618,902.9451904,941.7753296,1117.191406,606.6414185,1102.641479,1660091102658336.8,143.29540554958726,0.61666675
39.0,361.5486145,902.9749756,941.7753296,1117.191406,606.6414185,1102.641479,1660091102675003.5,143.31773603513585,0.6333335
40.0,361.8529968,902.774353,941.7753296,1117.191406,606.6414185,1102.641479,1660091102691670.2,143.2546801982783,0.65000025
41.0,361.9298096,902.9429932,941.7753296,1117.191406,606.6414185,1102.641479,1660091102708336.8,143.2695637402754,0.66666675
42.0,361.9572754,902.7122803,941.7753296,1117.191406,606.6414185,1102.641479,1660091102725003.5,143.2340028238536,0.6833335
43.0,361.9572754,902.7122803,941.7753296,1117.191406,606.6414185,1102.641479,1660091102741670.2,143.2340028238536,0.70000025
