Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Neck Green X,Neck Green Y,Timestamp (microseconds),angles,Seconds
1.0,366.1466675,1225.853394,467.5,1684.189819,414.3086548,1064.135742,512.5,1232.5,529.5,1014.0,1660879942000000.0,0.0,0.0
2.0,366.0,1225.5,467.1375732,1684.322754,414.3086548,1064.135742,512.5,1232.5,537.5,1015.0,1660879942016666.8,-2.108113614826299,0.01666675
3.0,365.5,1225.5,466.5,1683.5,414.0,1063.862793,512.5,1232.5,537.5,1014.5,1660879942033333.2,-2.0932052628747937,0.03333325
4.0,365.5,1225.5,466.5,1683.701172,413.8533325,1063.853394,512.5,1232.5,529.5,1014.0,1660879942050000.0,0.0,0.05
5.0,365.5,1225.5,466.5,1683.9375,413.8533325,1063.853394,512.5,1232.5,529.5,1014.0,1660879942066666.5,0.0,0.0666665
6.0,365.5,1225.5,466.5,1683.9375,414.1555481,1064.0,512.5,1232.5,529.5,1014.0,1660879942083333.2,0.0,0.08333325
7.0,365.5,1225.5,466.5,1684.5,414.2380981,1063.676147,512.5,1232.5,529.5,1014.0,1660879942100000.0,0.0,0.1
8.0,365.5,1225.5,466.6013184,1684.869263,414.1555481,1064.0,512.5,1232.5,529.5,1014.0,1660879942116666.5,0.0,0.1166665
9.0,365.5,1225.5,466.2893066,1684.836426,414.3086548,1064.135742,512.5,1232.5,529.5,1014.0,1660879942133333.5,0.0,0.1333335
10.0,365.5,1225.5,466.2893066,1684.836426,414.1555481,1064.0,512.5,1232.740234,529.5,1014.0,1660879942150000.0,0.0,0.15
11.0,365.5,1225.5,466.2893066,1684.836426,414.5,1063.758301,512.5,1232.740234,529.5,1014.0,1660879942166666.8,0.0,0.16666675
12.0,365.5,1225.5,466.3986816,1684.869263,414.2380981,1063.676147,512.5,1232.740234,529.5,1014.0,1660879942183333.5,0.0,0.1833335
13.0,365.5,1225.5,466.5,1685.0,414.2380981,1063.676147,512.5,1232.740234,529.5,1014.0,1660879942200000.0,0.0,0.2
14.0,365.5,1225.5,466.6349182,1685.230103,414.1358032,1063.308594,512.7359009,1233.294312,529.5,1014.0,1660879942216666.8,0.0,0.21666675
15.0,365.5,1225.5,466.5,1686.0,414.1358032,1063.308594,512.6763306,1233.772949,529.5,1014.0,1660879942233333.2,0.0,0.23333325
16.0,365.5,1225.5,466.2787781,1686.278809,414.1358032,1063.308594,512.6763306,1233.772949,529.5,1014.0,1660879942250000.0,0.0,0.25
17.0,365.5,1225.5,466.1635132,1686.710693,414.2873535,1063.287354,512.6763306,1233.772949,529.5,1014.0,1660879942266666.8,0.0,0.26666675
18.0,365.5,1225.5,466.1635132,1686.710693,414.5,1063.0,513.2270508,1234.32373,529.5,1014.0,1660879942283333.2,0.0,0.28333325
19.0,365.5,1225.5,466.1635132,1686.710693,414.6581116,1063.222168,513.0,1234.5,529.5,1014.0,1660879942300000.0,0.0,0.3
20.0,365.5,1225.5,465.6581116,1686.777832,415.2873535,1063.287354,513.0,1234.5,529.5,1014.0,1660879942316666.5,0.0,0.3166665
21.0,365.5,1225.5,465.6581116,1686.777832,415.2873535,1063.287354,513.0,1234.5,529.5,1014.0,1660879942333333.2,0.0,0.33333325
22.0,365.5,1225.5,465.6581116,1686.777832,414.8641968,1063.691406,513.0,1234.5,529.5,1014.0,1660879942350000.0,0.0,0.35
23.0,365.5,1225.5,465.6581116,1686.777832,415.0,1063.5,512.9155884,1234.603394,529.5,1014.0,1660879942366666.5,0.0,0.3666665
24.0,365.5,1225.5,465.6581116,1686.777832,415.3725586,1063.784302,513.2255859,1235.138062,529.5,1014.0,1660879942383333.5,0.0,0.3833335
25.0,365.5,1225.5,465.6581116,1686.777832,416.5,1063.5,513.5,1235.5,539.5,1015.0,1660879942400000.0,-2.5933416238044398,0.4
26.0,365.5,1225.5,465.6581116,1686.777832,416.8641968,1063.691406,513.5,1235.5,539.0,1015.0,1660879942416666.8,-2.465167261240688,0.41666675
27.0,365.5,1225.5,465.6581116,1686.777832,416.7886047,1064.211426,513.5,1235.5,539.0,1015.0,1660879942433333.5,-2.465167261240688,0.4333335
28.0,365.5,1225.5,465.6581116,1686.777832,417.3063049,1064.099121,513.2270508,1236.32373,539.0,1015.0,1660879942450000.0,-2.455836583217553,0.45
29.0,365.5,1225.5,465.6581116,1686.777832,417.4791565,1064.618042,513.8776245,1236.43457,541.5,1014.0,1660879942466666.8,-3.061375819933859,0.46666675
30.0,365.5,1225.5,465.6581116,1686.777832,418.1699219,1064.169922,513.7729492,1236.67627,541.5,1014.0,1660879942483333.2,-3.0578395860828,0.48333325
31.0,365.5,1225.5,465.6581116,1686.777832,418.24823,1064.53186,514.1846924,1237.026978,541.5,1014.0,1660879942500000.0,-3.054200439830293,0.5
32.0,365.5,1225.5,465.6581116,1686.777832,418.2789001,1064.414917,514.0617065,1237.300415,533.5357056,1014.630981,1660879942516666.8,-1.0432413108098284,0.51666675
33.0,365.5,1225.5,465.6581116,1686.777832,418.24823,1064.53186,514.0908813,1237.705688,535.3833618,1014.861633,1660879942533333.2,-1.517594497116733,0.53333325
34.0,365.5,1225.5,465.6581116,1686.777832,418.2787781,1064.278809,513.8156738,1237.815674,533.5357056,1014.630981,1660879942550000.0,-1.0408343499728336,0.55
35.0,365.5,1225.5,465.6581116,1686.777832,418.2787781,1064.278809,513.333313,1238.333374,533.5357056,1014.630981,1660879942566666.5,-1.0384190040305898,0.5666665
36.0,365.5,1225.5,465.6581116,1686.777832,418.2787781,1064.278809,513.333313,1238.333374,533.5357056,1014.630981,1660879942583333.2,-1.0384190040305898,0.58333325
37.0,365.5,1225.5,465.6581116,1686.777832,418.2787781,1064.278809,513.3743286,1238.579468,541.0,1016.5,1660879942600000.0,-2.9838983554179572,0.6
38.0,365.5,1225.5,465.6581116,1686.777832,418.2787781,1064.278809,513.333313,1238.666626,541.0,1016.5,1660879942616666.5,-2.982742821945584,0.6166665
39.0,365.5,1225.5,465.6581116,1686.777832,418.3484802,1064.651489,513.2827148,1239.147705,541.0,1016.5,1660879942633333.5,-2.976337533262512,0.6333335
40.0,365.5,1225.5,465.6581116,1686.777832,418.0,1064.5,512.8153076,1239.603638,541.0,1016.5,1660879942650000.0,-2.970383713979581,0.65
41.0,361.5,1227.5,462.5,1690.5,418.0,1064.623169,512.7211914,1240.278809,541.0,1016.5,1660879942666666.8,-2.961480330381146,0.66666675
42.0,361.5,1227.5,462.5,1690.5,417.7619019,1064.676147,512.5,1240.5,541.0,1016.5,1660879942683333.5,-2.958608703489715,0.6833335
43.0,361.5,1228.0,462.5,1690.5,417.5,1065.0,512.5,1240.5,541.0,1016.5,1660879942700000.0,-2.958608703489715,0.7
44.0,361.5,1228.0,462.5,1690.5,417.1458435,1065.46875,512.2788086,1240.721191,541.0,1016.5,1660879942716666.8,-2.9557380771272874,0.71666675
45.0,361.5,1228.5,462.2787781,1690.721191,416.6666565,1065.883301,512.5,1241.5,541.0,1016.5,1660879942733333.2,-2.945520369531104,0.73333325
46.0,361.5,1228.5,462.2893066,1690.836426,416.6231995,1066.0,511.8156738,1241.815674,541.0,1016.5,1660879942750000.0,-2.9415082329445554,0.75
47.0,361.5,1228.5,461.6904907,1690.607178,416.6231995,1066.0,511.6036072,1242.184692,541.0,1016.5,1660879942766666.8,-2.936742882737079,0.76666675
48.0,362.5,1229.780273,461.0,1690.5,416.414978,1066.278931,511.6036072,1242.184692,541.0,1016.5,1660879942783333.2,-2.936742882737079,0.78333325
49.0,362.7886047,1230.211426,460.8863525,1691.348511,416.6515198,1066.348511,511.6036072,1242.184692,541.0,1016.5,1660879942800000.0,-2.936742882737079,0.8
50.0,363.219696,1230.5,461.0,1691.376831,416.5,1066.5,511.6036072,1242.184692,541.0,1016.5,1660879942816666.5,-2.936742882737079,0.8166665
51.0,364.3603516,1231.360352,460.7160645,1691.716064,415.5,1066.758301,511.2270508,1242.32373,541.0,1016.5,1660879942833333.2,-2.9349674155079484,0.83333325
52.0,364.5,1231.780273,460.5909119,1691.969727,415.2564087,1066.609009,511.2270508,1242.32373,541.0,1016.5,1660879942850000.0,-2.9349674155079484,0.85
53.0,364.5,1231.780273,460.5909119,1691.969727,414.8300781,1066.830078,511.2270508,1242.32373,541.0,1016.5,1660879942866666.5,-2.9349674155079484,0.8666665
54.0,364.5,1231.780273,460.5909119,1691.969727,414.8300781,1066.830078,511.2270508,1242.32373,541.0,1016.5,1660879942883333.5,-2.9349674155079484,0.8833335
55.0,366.5,1233.5,460.7261963,1692.392822,414.8364868,1066.710693,511.2270508,1242.32373,533.5,1017.0,1660879942900000.0,-1.0695927027447414,0.9
56.0,366.5,1233.0,460.7261963,1692.392822,414.8364868,1066.710693,511.6036072,1242.184692,534.0,1014.0,1660879942916666.8,-1.1211477892394932,0.91666675
57.0,366.6349182,1233.769897,460.8364868,1692.710693,414.8364868,1066.710693,511.6036072,1242.184692,534.0,1014.0,1660879942933333.5,-1.1211477892394932,0.9333335
58.0,367.219696,1234.5,460.7106934,1692.836426,414.7212219,1066.721191,511.6036072,1242.184692,534.0,1014.0,1660879942950000.0,-1.1211477892394932,0.95
59.0,368.0,1234.623169,461.8850708,1693.0,414.0,1067.0,511.6481628,1242.259277,534.0,1014.0,1660879942966666.8,-1.1208254071218609,0.96666675
60.0,368.6231995,1235.0,462.0357056,1693.178589,413.8579102,1067.218628,512.1898193,1242.5,534.0,1014.0,1660879942983333.2,-1.1201201139627852,0.98333325
61.0,369.0,1235.5,462.3650818,1693.769897,414.1699219,1067.169922,512.2238159,1242.414307,532.0,1017.0,1660879943000000.0,-0.6885224085493545,1.0
