Frame #,Arm Pink X,Arm Pink Y,Back Pink X,Back Pink Y,Neck Green X,Neck Green Y,Shoulder Orange X,Shoulder Orange Y,Leg Orange X,Leg Orange Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Back Pink X meters,Neck Green X meters,Shoulder Orange X meters,Leg Orange X meters,Arm Pink Y meters,Back Pink Y meters,Neck Green Y meters,Shoulder Orange Y meters,Leg Orange Y meters,angular velocity
1.0,356.5,1015.5,530.333313,1020.666687,529.5,871.5,378.0,882.5,428.2791748,1402.46875,1660006515000000.0,0.0,0.0,0.4540822380235669,0.6754977213618312,0.6744363114543582,0.4814672818314399,0.5455090215766352,-1.2934656738090666,-1.3000466017084418,-1.1100495664447083,-1.124060519090597,-1.7863566585080348,
2.0,356.5,1015.5,530.333313,1020.666687,529.5,871.5,378.2270508,882.6763306,428.2791748,1402.46875,1660006515016666.8,0.0,0.01666675,0.4540822380235669,0.6754977213618312,0.6744363114543582,0.481756481650259,0.5455090215766352,-1.2934656738090666,-1.3000466017084418,-1.1100495664447083,-1.1242851154257445,-1.7863566585080348,0.0
3.0,356.0,1015.333313,530.333313,1020.666687,529.5,871.5,378.3435974,882.7640991,428.45401,1402.404175,1660006515033333.2,0.0,0.03333325,0.4534453765396629,0.6754977213618312,0.6744363114543582,0.481904929731499,0.5457317131864564,-1.2932533607487315,-1.3000466017084418,-1.1100495664447083,-1.1243969081800445,-1.7862744078473884,0.0
4.0,355.8533325,1014.853333,530.333313,1020.666687,529.5,871.5,378.835968,882.3862305,428.2791748,1402.46875,1660006515050000.0,0.0,0.05,0.4532585627762819,0.6754977213618312,0.6744363114543582,0.4825320734733924,0.5455090215766352,-1.292641999198643,-1.3000466017084418,-1.1100495664447083,-1.123915608265411,-1.7863566585080348,0.0
5.0,355.5,1014.5,530.333313,1020.666687,529.5,871.5,378.835968,882.3862305,428.2791748,1402.46875,1660006515066666.5,0.0,0.0666665,0.4528085150557589,0.6754977213618312,0.6744363114543582,0.4825320734733924,0.5455090215766352,-1.2921919508412585,-1.3000466017084418,-1.1100495664447083,-1.123915608265411,-1.7863566585080348,0.0
6.0,355.3928528,1013.726196,530.333313,1020.666687,529.5,871.5,378.0921021,882.0,428.2791748,1402.46875,1660006515083333.2,0.0,0.08333325,0.4526720392061826,0.6754977213618312,0.6744363114543582,0.4815845943915932,0.5455090215766352,-1.2912063389138768,-1.3000466017084418,-1.1100495664447083,-1.123423657606693,-1.7863566585080348,0.0
7.0,355.1898193,1013.5,530.0,1020.5,529.1375732,871.6772461,378.1046448,881.5814209,428.2791748,1402.46875,1660006515100000.0,0.1397579231813753,0.1,0.4524134307739981,0.6750731729382622,0.673974680115049,0.4816005703166615,0.5455090215766352,-1.2909182278734506,-1.299834288648107,-1.110275328873233,-1.122890503793179,-1.7863566585080348,0.1397579231813753
8.0,355.379303,1012.620667,530.0,1020.5,529.5,871.5,378.1046448,881.5814209,428.2791748,1402.46875,1660006515116666.5,0.0,0.1166665,0.4526547805147133,0.6750731729382622,0.6744363114543582,0.4816005703166615,0.5455090215766352,-1.289798201234999,-1.299834288648107,-1.1100495664447083,-1.122890503793179,-1.7863566585080348,-0.1397579231813753
9.0,355.379303,1012.620667,530.0,1020.5,529.5,871.5,378.1046448,881.5814209,428.2791748,1402.46875,1660006515133333.5,0.0,0.1333335,0.4526547805147133,0.6750731729382622,0.6744363114543582,0.4816005703166615,0.5455090215766352,-1.289798201234999,-1.299834288648107,-1.1100495664447083,-1.122890503793179,-1.7863566585080348,0.0
10.0,355.0,1012.5,530.0,1020.5,529.3986816,870.8692627,378.0,880.5,428.1299438,1401.800415,1660006515150000.0,0.0379853024047525,0.15,0.4521716535718549,0.6750731729382622,0.6743072598812166,0.4814672818314399,0.5453189426244262,-1.2896445049056424,-1.299834288648107,-1.109246181859045,-1.121513073154981,-1.7855053848683449,0.0379853024047525
