Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Pink X,Shoulder Pink Y,Back Pink X,Back Pink Y,Neck Green X,Neck Green Y,Timestamp (microseconds),angles,Seconds
1.0,381.5,897.5,420.2738037,1222.392822,401.0,736.333313,491.6056519,858.6383667,495.46875,689.625,1660610145315000.0,0.0,0.0
2.0,381.5,897.5,420.5925903,1222.740723,400.8070068,736.1929932,491.6056519,858.6383667,495.46875,689.625,1660610145331666.8,0.0,0.01666675
3.0,381.5,897.5,420.5925903,1222.740723,400.5,735.7583618,492.2076111,858.7923584,495.46875,689.625,1660610145348333.2,0.0,0.03333325
4.0,381.5,897.5,420.3484802,1222.886353,400.5,735.7583618,491.6056519,858.6383667,495.46875,689.625,1660610145365000.0,0.0,0.05
5.0,381.5,897.5,420.5925903,1222.740723,400.5,735.7583618,491.6056519,858.6383667,494.9523926,689.5952148,1660610145381666.8,0.17516601087213504,0.06666675
6.0,381.5,897.5,420.4761963,1222.880981,400.5,735.7583618,491.6056519,858.6383667,494.9523926,689.5952148,1660610145398333.2,0.17516601087213504,0.08333325
7.0,381.5,897.5,420.323822,1223.028564,400.5,735.7583618,491.6056519,858.6383667,495.46875,689.625,1660610145415000.0,0.0,0.1
8.0,381.5,897.5,420.5,1223.0,400.5,735.7583618,491.6056519,858.6383667,495.46875,689.625,1660610145431666.5,0.0,0.1166665
9.0,381.5,897.5,420.5,1223.0,400.5,735.7583618,491.6056519,858.6383667,495.46875,689.625,1660610145448333.5,0.0,0.1333335
10.0,381.5,897.5,420.5,1223.0,400.5952454,736.0476074,491.6056519,858.6383667,494.9523926,689.5952148,1660610145465000.2,0.17516601087213504,0.15000025
11.0,381.5,897.5,420.5,1223.0,400.6396484,736.6396484,492.1130676,858.7114868,494.9523926,689.5952148,1660610145481666.8,0.17508078901467072,0.16666675
12.0,381.5,897.5,420.5,1223.0,400.7953186,735.0818481,491.6056519,858.6383667,495.5,689.5,1660610145498333.5,-0.009613063878891525,0.1833335
13.0,381.5,897.5,420.5,1223.0,400.7953186,735.0818481,491.6056519,858.6383667,495.5,689.5,1660610145515000.0,-0.009613063878891525,0.2
14.0,381.5,897.5,420.5,1223.0,400.7953186,735.0818481,492.2076111,858.7923584,495.5,689.5,1660610145531666.8,-0.009757134125084008,0.21666675
15.0,381.5,897.5,420.5,1223.0,400.7953186,735.0818481,492.2076111,858.7923584,495.5,689.5,1660610145548333.5,-0.009757134125084008,0.2333335
16.0,381.5,897.5,420.5238037,1223.119019,400.7953186,735.0818481,492.2076111,858.7923584,495.5,689.5,1660610145565000.0,-0.009757134125084008,0.25
17.0,381.5,897.5,420.5238037,1223.119019,400.7953186,735.0818481,492.2076111,858.7923584,495.46875,689.625,1660610145581666.8,0.0,0.26666675
18.0,381.5,897.5,420.5238037,1223.119019,400.7953186,735.0818481,492.3333435,858.7163696,495.46875,689.625,1660610145598333.2,0.0,0.28333325
19.0,381.5,897.5,420.5238037,1223.119019,400.7759705,735.3005371,492.1606445,859.026123,495.46875,689.625,1660610145615000.0,0.0,0.3
20.0,381.5,897.5,420.5238037,1223.119019,400.7043152,734.8602295,492.1606445,859.026123,495.46875,689.625,1660610145631666.8,0.0,0.31666675
21.0,381.5,897.5,420.5238037,1223.119019,400.7043152,734.8602295,492.1606445,859.026123,495.46875,689.625,1660610145648333.2,0.0,0.33333325
22.0,381.5,897.5,420.5238037,1223.119019,400.6111145,734.8555298,492.2327271,858.9862061,495.46875,689.625,1660610145665000.0,0.0,0.35
23.0,381.5,897.5,421.0,1222.5,400.7043152,734.8602295,492.2327271,858.9862061,495.46875,689.625,1660610145681666.5,0.0,0.3666665
24.0,381.5,897.5,420.5238037,1223.119019,400.7076111,734.9649048,492.2076111,858.7923584,495.46875,689.625,1660610145698333.5,0.0,0.3833335
25.0,381.5,897.5,420.5238037,1223.119019,400.7076111,734.9649048,492.2076111,858.7923584,495.46875,689.625,1660610145715000.2,0.0,0.40000025
26.0,381.5,897.5,420.5238037,1223.119019,400.5914001,734.7473145,492.2076111,858.7923584,495.46875,689.625,1660610145731666.8,0.0,0.41666675
27.0,381.5,897.5,420.5238037,1223.119019,400.5914001,734.7473145,492.2756042,858.7243652,495.0,689.5,1660610145748333.5,0.1594590991880992,0.4333335
28.0,381.5,897.5,420.5238037,1223.119019,400.5914001,734.7473145,492.2756042,858.7243652,495.0,689.5,1660610145765000.0,0.1594590991880992,0.45
29.0,381.0,897.5,420.5238037,1223.119019,400.5914001,734.7473145,492.2756042,858.7243652,495.0,689.5,1660610145781666.8,0.1594590991880992,0.46666675
30.0,381.0,897.5,420.5,1223.0,400.5914001,734.7473145,492.2756042,858.7243652,494.5,689.5,1660610145798333.5,0.3287121806242833,0.4833335
31.0,381.0,897.5,420.5,1223.0,400.5914001,734.7473145,492.2756042,858.7243652,494.5,689.5,1660610145815000.0,0.3287121806242833,0.5
32.0,381.0,897.5,420.5,1223.0,399.5,735.5,492.4473572,858.5158081,494.5,689.5,1660610145831666.8,0.329085875913578,0.51666675
33.0,381.0,897.5,420.5,1223.0,399.4886475,735.5908813,492.1498108,858.8501587,494.5,689.5,1660610145848333.2,0.3284909831947157,0.53333325
34.0,381.0,897.5,420.3418884,1222.777832,399.0701904,735.4035034,492.3368225,858.5794067,494.9523926,689.5952148,1660610145865000.0,0.17521252551446032,0.55
35.0,381.0,897.5,420.3418884,1222.777832,398.8139648,735.6821899,492.3368225,858.5794067,494.5,689.5,1660610145881666.8,0.3289829699221775,0.56666675
36.0,381.0,897.5,420.3418884,1222.777832,399.2900391,735.2424316,492.2632446,858.6547241,494.5,689.2416382,1660610145898333.2,0.33000530834240904,0.58333325
37.0,381.0,897.5,420.0,1223.333374,399.6271057,734.7401123,492.2632446,858.6547241,494.5,689.2416382,1660610145915000.0,0.33000530834240904,0.6
38.0,381.0,897.5,420.0,1223.5,399.4390259,735.0609741,492.2632446,858.6547241,494.5,689.2416382,1660610145931666.5,0.33000530834240904,0.6166665
39.0,381.0,897.5,420.0,1223.5,399.0625,735.4375,492.2632446,858.6547241,494.5,689.2416382,1660610145948333.5,0.33000530834240904,0.6333335
40.0,381.5,897.5,420.0,1223.5,398.7651367,735.5341187,492.1524963,858.7996216,494.5,689.2416382,1660610145965000.2,0.32979905379890384,0.65000025
41.0,381.5,897.5,420.0,1223.5,399.0502319,735.1324463,492.1433716,858.8566284,494.5,689.5,1660610145981666.8,0.32847959957732376,0.66666675
42.0,381.5,897.5,419.8692932,1222.398682,398.2046814,735.9181519,492.1282043,858.9194336,494.0,689.666687,1660610145998333.5,0.49680487130435463,0.6833335
43.0,381.5,897.5,420.0,1222.623169,398.6258545,735.7279053,491.4059448,857.6204834,494.0,689.666687,1660610146015000.0,0.500505951952481,0.7
44.0,381.0,897.666687,420.0,1222.623169,397.9111023,736.4000244,491.0344849,857.7318115,494.46875,689.625,1660610146031666.8,0.34064203514674646,0.71666675
45.0,381.0,897.666687,420.0,1222.623169,398.1929932,736.8070068,491.319458,857.920166,494.5,689.5,1660610146048333.5,0.3304552819183854,0.7333335
46.0,381.0,897.666687,420.0,1222.623169,397.7481384,735.6370239,491.0344849,857.7318115,493.5,689.5,1660610146065000.0,0.671342415472307,0.75
47.0,381.0,897.666687,420.0,1222.623169,398.3030396,736.3030396,491.319458,857.920166,493.6396484,689.3603516,1660610146081666.8,0.6237181501996653,0.76666675
48.0,381.0,897.666687,420.0,1222.623169,398.1635132,736.2893066,491.0344849,857.7318115,493.865387,688.9423218,1660610146098333.2,0.5501157161397388,0.78333325
49.0,381.0,897.666687,420.0,1222.623169,398.1699219,736.1699219,491.0344849,857.7318115,493.865387,688.9423218,1660610146115000.0,0.5501157161397388,0.8
