Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),stamp velocity (m/s)
1660610366909912,0.0018921187151903,0.985427634088655,-0.1821927214465551,0.0,0.0,0.0,-0.0011437705415684,-0.0006878424362869,-0.6596861863223563,
1660610366925915,-0.0003051804379339,0.9887235828183414,-0.1823147936217286,-0.000112249302776,0.0002915233246977,0.0001004835008491,-0.0013754622524603,-0.0010727190046264,-0.6596679460837777,0.028100248001033334
1660610366941919,0.0042114900434881,0.9889677271686884,-0.1829251544975965,-0.0004479621913364,0.0007288026462375,0.0001167279692528,-0.0016105990368168,-0.0013089692542107,-0.659652900651021,0.020853830286757476
1660610366957923,0.0049439230945296,0.9893339436942092,-0.1823147936217286,-0.0009491047984438,0.0013011594082908,2.217500031148861e-05,-0.0018465007578516,-0.0015080402414169,-0.6596441876940151,0.01929973238502712
1660610366973926,0.0050659952697031,0.9898222323949036,-0.1817044327458608,-0.0015348052615584,0.0019880423543887,-0.0002053424017739,-0.0020805084557943,-0.0017055568011268,-0.6596437922731757,0.019138940019070558
1660610366989930,0.0079957274738688,0.9895780880445564,-0.1853665980010679,-0.0021151964300578,0.002764747604059,-0.0005740225762671,-0.0023101546795206,-0.0019740344894862,-0.659652236626804,0.022087270471957136
1660610367005933,0.0083619439993896,0.9892118715190356,-0.1878080415045398,-0.0026068150870108,0.0036077382485129,-0.001069563995808,-0.0025333297896208,-0.0023388988821146,-0.6596686451040618,0.026751342906000154
1660610367021937,0.0092164492256046,0.985671778439002,-0.1911039902342262,-0.0029468117984041,0.0044986811206423,-0.0016483663605913,-0.0027484448008705,-0.0026691520582619,-0.6596913202845163,0.024674109677847826
1660610367037941,0.0095826657511253,0.98457312886244,-0.1920805676356148,-0.0031031896987018,0.0054282367028614,-0.0022436147198027,-0.0029545429180676,-0.0030387944030417,-0.6597174096812297,0.026501220018155063
1660610367053944,0.008239871824216,0.98286411841001,-0.1915922789349205,-0.003078869667251,0.0063943031707739,-0.0027837912936952,-0.0031512986664927,-0.0033349605943307,-0.659744358007521,0.022286613983620196
1660610367069948,0.0059205004959181,0.9824979018844892,-0.1812161440451665,-0.0029085406917342,0.0073971777490725,-0.0032088941321169,-0.0033389238594111,-0.0035153707764794,-0.6597698020236843,0.016345685210370938
