Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),Seconds
1.0,290.1466675,881.1466675,306.0952454,882.927002,585.3389282,1035.661011,1660786904000000.0,0.0
2.0,289.9111023,881.4000244,306.0952454,882.927002,585.3389282,1035.661011,1660786904016666.8,0.01666675
3.0,289.9111023,881.4000244,306.0952454,882.927002,584.8449097,1035.689819,1660786904033333.2,0.03333325
4.0,289.9111023,881.4000244,306.0952454,882.927002,584.5,1035.842285,1660786904050000.0,0.05
5.0,289.9111023,881.4000244,306.0952454,882.927002,584.3618164,1035.96582,1660786904066666.5,0.0666665
6.0,289.9111023,881.4000244,306.0952454,882.927002,584.5,1036.158447,1660786904083333.2,0.08333325
7.0,305.2831116,885.2420044,314.8059998,913.1481323,583.6610718,1036.338989,1660786904100000.0,0.1
8.0,304.9686279,885.1372681,314.9099121,913.1080933,583.6610718,1036.338989,1660786904116666.5,0.1166665
9.0,304.9686279,885.1372681,314.9099121,913.1080933,584.0031738,1036.386841,1660786904133333.5,0.1333335
10.0,304.9686279,885.1372681,314.9099121,913.1080933,583.5,1036.5,1660786904150000.0,0.15
11.0,304.9686279,885.1372681,314.9099121,913.1080933,583.5,1037.0,1660786904166666.8,0.16666675
12.0,304.9686279,885.1372681,314.9099121,913.1080933,583.6723633,1037.267822,1660786904183333.5,0.1833335
13.0,288.0,882.5,303.162384,885.8404541,583.5,1037.157715,1660786904200000.0,0.2
14.0,286.0,884.0,303.0721436,885.7661743,583.3174438,1037.317505,1660786904216666.8,0.21666675
15.0,286.0,884.0,303.0721436,885.7661743,582.9187622,1037.568604,1660786904233333.2,0.23333325
16.0,302.8568115,886.0328369,314.190155,915.8724976,582.8457031,1037.592285,1660786904250000.0,0.25
17.0,286.6666565,883.7333374,314.1557312,916.2294922,582.5272827,1037.775757,1660786904266666.8,0.26666675
18.0,286.0,884.0,313.841156,916.5390625,581.857605,1037.427246,1660786904283333.2,0.28333325
19.0,286.0,884.0,313.7702026,916.4393921,581.9301147,1037.879028,1660786904300000.0,0.3
20.0,286.3086548,884.1358032,313.7702026,916.4393921,581.7948608,1038.0,1660786904316666.5,0.3166665
21.0,300.1408386,887.1361694,313.7702026,916.4393921,581.7948608,1038.0,1660786904333333.2,0.33333325
22.0,300.1408386,887.1361694,313.7702026,916.4393921,581.6558228,1038.184326,1660786904350000.0,0.35
