Frame #,Wrist Pink X,Wrist Pink Y,Hip Pink X,Hip Pink Y,Head Pink X,Head Pink Y,Elbow Pink X,Elbow Pink Y,Shoulder Green X,Shoulder Green Y,angles,Timestamp (microseconds),Seconds
1.0,501.757843,1566.213745,837.5384521,1329.266724,1027.093018,428.7950439,642.7518921,1206.596069,791.4803467,887.3493652,29.06166465,1658799252000000.0,0.0
2.0,502.1161194,1566.67749,837.5384521,1329.266724,1026.733643,429.0702515,643.0339966,1207.275269,791.4803467,887.3493652,29.0219704,1658799252016666.8,0.01666675
3.0,502.4282532,1566.921753,837.5384521,1329.266724,1026.684204,429.1913757,643.0339966,1207.275269,791.4803467,887.3493652,28.99226387,1658799252033333.2,0.03333325
4.0,502.5513306,1566.918579,837.5384521,1329.266724,1026.62561,429.2470398,643.0339966,1207.275269,791.4136963,887.4336548,28.991049,1658799252050000.0,0.05
5.0,502.5374146,1567.160156,837.5384521,1329.266724,1026.363525,429.4486694,643.0994873,1207.364136,791.3297119,887.5,28.99239027,1658799252066666.5,0.0666665
6.0,502.8296509,1567.265991,837.5384521,1329.266724,1026.255981,429.4803162,642.7973633,1207.554443,791.3297119,887.5,28.96831043,1658799252083333.2,0.08333325
7.0,502.8793945,1567.406372,837.4699097,1329.373413,1026.255981,429.4803162,642.4501343,1207.518433,791.4136963,887.5663452,28.94840331,1658799252100000.0,0.1
8.0,502.8851318,1567.358765,837.2900391,1329.5271,1026.196045,429.414856,642.4508057,1207.640747,791.4845581,887.7103271,28.92656556,1658799252116666.5,0.1166665
9.0,502.8851318,1567.358765,837.1746826,1329.560913,1026.196045,429.414856,642.3932495,1207.754761,791.3458252,887.8641968,28.92591948,1658799252133333.5,0.1333335
10.0,503.1251526,1567.872803,837.1746826,1329.560913,1026.196045,429.414856,642.5109253,1207.864258,791.2080688,888.0546875,28.90934689,1658799252150000.0,0.15
11.0,503.1251526,1567.872803,837.1746826,1329.560913,1026.196045,429.414856,642.5109253,1207.864258,791.2324829,888.3684082,28.9216541,1658799252166666.8,0.16666675
12.0,503.2073364,1567.890991,837.1746826,1329.560913,1026.196045,429.414856,642.6321411,1207.927368,791.2926636,888.46698,28.91610314,1658799252183333.5,0.1833335
13.0,503.3528137,1568.135864,837.1746826,1329.560913,1026.196045,429.414856,642.862915,1207.911987,791.2915649,888.5288696,28.90105119,1658799252200000.0,0.2
14.0,503.4362183,1568.03894,837.2900391,1329.5271,1026.439941,429.4362488,642.980957,1207.863281,791.2926636,888.46698,28.91053673,1658799252216666.8,0.21666675
15.0,503.4362183,1568.03894,837.1617432,1329.404907,1026.439941,429.4362488,642.980957,1207.863281,791.2279053,888.6217651,28.90613851,1658799252233333.2,0.23333325
16.0,503.4362183,1568.03894,837.1218872,1329.618896,1026.511108,429.4888306,642.980957,1207.863281,791.1312866,888.8059692,28.91170818,1658799252250000.0,0.25
17.0,503.5728149,1568.417603,837.1218872,1329.618896,1026.511108,429.4888306,642.9642944,1207.971558,791.1491089,889.0463867,28.89996064,1658799252266666.8,0.26666675
18.0,503.5741577,1568.293091,837.1218872,1329.618896,1026.511108,429.4888306,643.0284424,1208.277344,791.1491089,889.0463867,28.90363475,1658799252283333.2,0.28333325
19.0,503.5741577,1568.293091,837.1218872,1329.618896,1026.511108,429.4888306,643.2515259,1208.354126,791.2279053,888.9765015,28.89608064,1658799252300000.0,0.3
20.0,503.5741577,1568.293091,837.1218872,1329.618896,1026.511108,429.4888306,643.2515259,1208.354126,791.2058105,889.1231689,28.90375138,1658799252316666.5,0.3166665
21.0,503.9936829,1568.344971,837.265686,1329.718384,1026.75647,429.1620789,643.2515259,1208.354126,791.2896118,889.0102539,28.87961376,1658799252333333.2,0.33333325
22.0,504.0884399,1568.330322,837.265686,1329.718384,1026.75647,429.1620789,643.3280029,1208.531738,791.2531128,889.1932983,28.88335642,1658799252350000.0,0.35
23.0,504.2159424,1568.509888,837.265686,1329.718384,1026.75647,429.1620789,643.5151978,1208.825928,791.24646,889.4004517,28.87823035,1658799252366666.5,0.3666665
24.0,504.2276001,1568.487793,837.265686,1329.718384,1026.75647,429.1620789,643.6008911,1208.964111,791.24646,889.4004517,28.87806434,1658799252383333.5,0.3833335
25.0,504.4815979,1569.184326,837.265686,1329.718384,1026.75647,429.1620789,643.6008911,1208.964111,791.24646,889.4004517,28.83883715,1658799252400000.0,0.4
26.0,504.5219727,1569.409546,837.265686,1329.718384,1027.00769,429.0995789,644.1312256,1208.734619,791.24646,889.4004517,28.8291527,1658799252416666.8,0.41666675
27.0,504.4256897,1569.435669,837.265686,1329.718384,1027.00769,429.0995789,644.1312256,1208.734619,791.3965454,889.4159546,28.82734333,1658799252433333.5,0.4333335
28.0,504.5331421,1569.385376,837.265686,1329.718384,1027.279541,429.2182007,644.1312256,1208.734619,791.4803467,889.4803467,28.81918753,1658799252450000.0,0.45
29.0,504.7421265,1569.627563,837.265686,1329.718384,1027.279541,429.2182007,644.1783447,1208.686646,791.4803467,889.4803467,28.79693202,1658799252466666.8,0.46666675
30.0,504.9274902,1569.658447,837.265686,1329.718384,1027.279541,429.2182007,644.24823,1208.783447,791.5515747,889.6206665,28.78477285,1658799252483333.2,0.48333325
31.0,505.2340088,1569.538696,837.265686,1329.718384,1027.00769,429.0995789,644.24823,1208.783447,791.6366577,889.6849976,28.76437818,1658799252500000.0,0.5
32.0,504.9274902,1569.658447,837.265686,1329.718384,1027.279541,429.2182007,644.24823,1208.783447,791.6366577,889.6849976,28.7827006,1658799252516666.8,0.51666675
33.0,505.0156555,1569.726563,837.265686,1329.718384,1027.393555,429.2052307,644.2839355,1208.794434,791.4978638,889.8354492,28.78883967,1658799252533333.2,0.53333325
34.0,505.1496887,1569.494995,837.265686,1329.718384,1027.251953,429.315155,644.2839355,1208.794434,791.4978638,889.8354492,28.78622955,1658799252550000.0,0.55
35.0,505.2519226,1569.397949,837.265686,1329.718384,1027.251953,429.315155,644.4360352,1208.894653,791.4978638,889.8354492,28.78183676,1658799252566666.5,0.5666665
36.0,505.1412354,1569.31543,837.265686,1329.718384,1027.251953,429.315155,644.4360352,1208.894653,791.4978638,889.8354492,28.79225226,1658799252583333.2,0.58333325
37.0,505.12677,1569.120361,837.265686,1329.718384,1026.879517,429.4007263,644.3126831,1209.414063,791.4978638,889.8354492,28.79917629,1658799252600000.0,0.6
38.0,505.12677,1569.120361,837.265686,1329.718384,1026.845825,429.2514343,644.3685913,1209.48645,791.6366577,889.6849976,28.78467691,1658799252616666.5,0.6166665
39.0,505.12677,1569.120361,837.265686,1329.718384,1026.845825,429.2514343,644.3685913,1209.48645,791.7689819,889.8354492,28.78365283,1658799252633333.5,0.6333335
40.0,505.12677,1569.120361,837.265686,1329.718384,1026.845825,429.2514343,644.3685913,1209.48645,791.7689819,889.8354492,28.78365283,1658799252650000.0,0.65
41.0,505.2392273,1569.201904,837.265686,1329.718384,1026.845825,429.2514343,644.480957,1209.603394,791.6116943,890.1188965,28.79449731,1658799252666666.8,0.66666675
42.0,505.2392273,1569.201904,837.265686,1329.718384,1026.845825,429.2514343,644.3685913,1209.48645,791.6116943,890.1188965,28.79449731,1658799252683333.5,0.6833335
43.0,505.2392273,1569.201904,837.265686,1329.718384,1026.845825,429.2514343,644.3685913,1209.48645,791.6116943,890.1188965,28.79449731,1658799252700000.0,0.7
44.0,505.2392273,1569.201904,837.265686,1329.718384,1026.845825,429.2514343,644.3685913,1209.48645,791.6116943,890.1188965,28.79449731,1658799252716666.8,0.71666675
45.0,505.0256348,1569.42395,837.265686,1329.718384,1026.758667,429.186554,644.3685913,1209.48645,791.6116943,890.1188965,28.80308672,1658799252733333.2,0.73333325
46.0,505.1712952,1569.399902,837.265686,1329.718384,1026.637573,429.2319031,644.3685913,1209.48645,791.6116943,890.1188965,28.79338268,1658799252750000.0,0.75
47.0,505.1712952,1569.399902,837.265686,1329.718384,1026.637573,429.2319031,644.3685913,1209.48645,791.6116943,890.1188965,28.79338268,1658799252766666.8,0.76666675
48.0,505.1712952,1569.399902,837.265686,1329.718384,1026.483032,429.4109497,644.3685913,1209.48645,791.6116943,890.1188965,28.79338268,1658799252783333.2,0.78333325
49.0,505.2358398,1569.621582,837.265686,1329.718384,1026.439819,429.0039673,644.480957,1209.603394,791.6116943,890.1188965,28.78206883,1658799252800000.0,0.8
50.0,505.9181213,1569.77124,837.265686,1329.718384,1026.330322,429.0196838,644.480957,1209.603394,791.6116943,890.1188965,28.72869059,1658799252816666.5,0.8166665
51.0,505.9744568,1569.696777,837.265686,1329.718384,1026.330322,429.0196838,644.480957,1209.603394,791.6116943,890.1188965,28.72689681,1658799252833333.2,0.83333325
52.0,505.9744568,1569.696777,837.265686,1329.718384,1026.2229,429.0558472,644.480957,1209.603394,791.6116943,890.1188965,28.72689681,1658799252850000.0,0.85
53.0,506.3914795,1569.401489,837.265686,1329.718384,1025.991333,428.9100952,644.6657104,1209.56189,791.6116943,890.1188965,28.70589687,1658799252866666.5,0.8666665
54.0,506.7010498,1569.35083,837.2057495,1329.853149,1025.89502,428.9275818,644.6661987,1209.749146,791.6303101,889.9790649,28.66855007,1658799252883333.5,0.8833335
55.0,506.7010498,1569.35083,837.2057495,1329.853149,1026.02063,429.0726013,644.6661987,1209.749146,791.6260986,890.2623291,28.68109925,1658799252900000.0,0.9
56.0,506.7010498,1569.35083,837.2057495,1329.853149,1025.799927,429.1404419,644.6661987,1209.749146,791.6260986,890.2623291,28.68109925,1658799252916666.8,0.91666675
57.0,506.7010498,1569.35083,836.8565674,1329.769165,1025.620605,429.2192078,644.6661987,1209.749146,791.6260986,890.2623291,28.63718238,1658799252933333.5,0.9333335
58.0,506.9183655,1569.331665,836.8565674,1329.769165,1025.620605,429.2192078,644.935791,1209.706299,791.6260986,890.2623291,28.62216648,1658799252950000.0,0.95
59.0,507.0177612,1569.494873,836.8565674,1329.769165,1025.620605,429.2192078,644.9871216,1209.775757,791.6260986,890.2623291,28.61012537,1658799252966666.8,0.96666675
60.0,507.0177612,1569.494873,836.8565674,1329.769165,1025.620605,429.2192078,644.9871216,1209.775757,791.6260986,890.2623291,28.61012537,1658799252983333.2,0.98333325
61.0,507.815918,1569.877686,836.8565674,1329.769165,1025.620605,429.2192078,645.3449097,1209.653198,791.479248,890.1486816,28.54482923,1658799253000000.0,1.0
62.0,507.7589111,1569.54895,837.2057495,1329.853149,1025.620605,429.2192078,645.2622681,1209.716675,791.4957886,890.0,28.59528075,1658799253016666.8,1.01666675
63.0,507.7589111,1569.54895,837.2057495,1329.853149,1025.620605,429.2192078,645.2622681,1209.716675,791.4957886,890.0,28.59528075,1658799253033333.2,1.03333325
64.0,507.7589111,1569.54895,837.2057495,1329.853149,1025.620605,429.2192078,645.2622681,1209.716675,791.4957886,890.0,28.59528075,1658799253050000.0,1.05
65.0,507.8235474,1569.786499,837.2057495,1329.853149,1025.620605,429.2192078,645.2287598,1209.584595,791.4957886,890.0,28.58352186,1658799253066666.5,1.0666665
66.0,507.7012024,1569.817871,837.2057495,1329.853149,1025.555176,429.3261108,645.2287598,1209.584595,791.4785156,889.8547974,28.58605571,1658799253083333.2,1.08333325
67.0,507.7114563,1569.93103,837.2057495,1329.853149,1025.555176,429.3261108,645.2287598,1209.584595,791.4785156,889.8547974,28.5819313,1658799253100000.0,1.1
68.0,507.7114563,1569.93103,837.2057495,1329.853149,1025.490112,429.3806458,645.2287598,1209.584595,791.4785156,889.8547974,28.5819313,1658799253116666.5,1.1166665
69.0,507.4871521,1569.935913,837.2057495,1329.853149,1025.372559,429.3691711,645.2287598,1209.584595,791.4112549,889.7150879,28.59566133,1658799253133333.5,1.1333335
70.0,507.5148926,1569.96228,837.2057495,1329.853149,1025.490112,429.3806458,645.2287598,1209.584595,791.4803467,889.4803467,28.57877427,1658799253150000.0,1.15
71.0,507.8760376,1569.842651,837.2057495,1329.853149,1025.490112,429.3806458,645.2287598,1209.584595,791.3965454,889.4159546,28.55843515,1658799253166666.8,1.16666675
72.0,507.8621826,1570.079346,837.2057495,1329.853149,1025.490112,429.3806458,645.2287598,1209.584595,791.3965454,889.4159546,28.5523548,1658799253183333.5,1.1833335
73.0,508.1555481,1570.082397,837.2057495,1329.853149,1025.490112,429.3806458,645.194519,1209.648682,791.616394,889.130188,28.50635635,1658799253200000.0,1.2
74.0,508.0335999,1570.577759,837.2645874,1330.062988,1025.490112,429.3806458,645.3504028,1209.574219,791.3965454,889.4159546,28.52994235,1658799253216666.8,1.21666675
75.0,508.0943298,1570.596924,837.2645874,1330.062988,1025.490112,429.3806458,645.3504028,1209.574219,791.3965454,889.4159546,28.52501595,1658799253233333.2,1.23333325
76.0,508.0943298,1570.596924,837.2645874,1330.062988,1025.490112,429.3806458,645.3504028,1209.574219,791.3965454,889.4159546,28.52501595,1658799253250000.0,1.25
77.0,508.1599731,1570.937378,837.2645874,1330.062988,1025.490112,429.3806458,645.3504028,1209.574219,791.3965454,889.4159546,28.510161,1658799253266666.8,1.26666675
78.0,508.2183228,1570.581543,837.2645874,1330.062988,1025.620605,429.2192078,645.569397,1209.387695,791.3965454,889.4159546,28.51658257,1658799253283333.2,1.28333325
79.0,508.2183228,1570.581543,837.2645874,1330.062988,1025.490112,429.3806458,645.569397,1209.387695,791.3965454,889.4159546,28.51658257,1658799253300000.0,1.3
80.0,508.2183228,1570.581543,837.2645874,1330.062988,1025.380127,429.4119568,645.5040894,1209.305054,791.2556763,889.3435669,28.52146925,1658799253316666.5,1.3166665
81.0,508.2770386,1570.553711,837.4172974,1330.537598,1025.195679,429.2957153,645.569397,1209.387695,791.0686646,889.2589111,28.53828289,1658799253333333.2,1.33333325
82.0,508.433136,1570.492065,837.4172974,1330.537598,1024.734741,429.3049011,645.569397,1209.387695,791.0686646,889.2589111,28.52891887,1658799253350000.0,1.35
83.0,508.433136,1570.492065,837.4172974,1330.537598,1024.734741,429.3049011,645.569397,1209.387695,791.2098389,889.3312378,28.5240443,1658799253366666.5,1.3666665
84.0,508.433136,1570.492065,837.4172974,1330.537598,1024.734741,429.3049011,645.569397,1209.387695,791.2287598,889.3501587,28.52378947,1658799253383333.5,1.3833335
85.0,508.5374146,1570.450439,837.4172974,1330.537598,1024.734741,429.3049011,645.569397,1209.387695,791.223999,888.8860474,28.49776601,1658799253400000.0,1.4
86.0,508.8445435,1570.580811,837.4172974,1330.537598,1024.661865,429.4034729,645.569397,1209.387695,791.1115723,889.2038574,28.49194374,1658799253416666.8,1.41666675
87.0,509.0522461,1570.605103,837.4172974,1330.537598,1024.661865,429.4034729,645.569397,1209.387695,791.1115723,889.2038574,28.47631316,1658799253433333.5,1.4333335
88.0,509.0522461,1570.605103,837.4172974,1330.537598,1024.661865,429.4034729,645.569397,1209.387695,791.1115723,889.2038574,28.47631316,1658799253450000.0,1.45
89.0,509.651825,1570.628174,837.4172974,1330.537598,1024.661865,429.4034729,645.569397,1209.387695,791.1115723,889.2038574,28.43257445,1658799253466666.8,1.46666675
90.0,509.6882935,1571.018921,837.4172974,1330.537598,1024.480225,429.2467041,645.569397,1209.387695,790.9712524,889.1305542,28.42314906,1658799253483333.2,1.48333325
91.0,509.8710938,1571.433472,837.4172974,1330.537598,1024.326782,429.1351929,645.569397,1209.387695,790.9712524,889.1305542,28.39775435,1658799253500000.0,1.5
92.0,509.7542725,1571.690552,837.4172974,1330.537598,1024.247803,429.2418823,645.569397,1209.387695,790.9712524,889.1305542,28.3985371,1658799253516666.8,1.51666675
93.0,509.9436951,1571.975708,837.4172974,1330.537598,1024.115967,429.3320923,645.569397,1209.387695,791.0910645,888.8096924,28.35593847,1658799253533333.2,1.53333325
94.0,510.4612732,1571.950195,837.4172974,1330.537598,1023.938782,429.2725525,645.569397,1209.387695,790.996521,888.6445923,28.31781394,1658799253550000.0,1.55
95.0,510.546875,1571.987183,837.4172974,1330.537598,1023.938782,429.2725525,645.569397,1209.387695,790.996521,888.6445923,28.31058186,1658799253566666.5,1.5666665
96.0,510.686615,1572.087769,837.4172974,1330.537598,1023.366638,429.3562927,645.569397,1209.387695,791.1538696,888.7469482,28.29309239,1658799253583333.2,1.58333325
97.0,510.7510986,1572.08606,837.4172974,1330.537598,1023.159973,429.4635315,645.569397,1209.387695,791.1538696,888.7469482,28.28851533,1658799253600000.0,1.6
98.0,510.9892578,1572.272827,837.4172974,1330.537598,1022.974243,429.5,645.664856,1209.635376,790.996521,888.6445923,28.2704295,1658799253616666.5,1.6166665
