Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Body Pink X meters,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Body Pink Y meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters
1.0,158.4009857,1737.091553,332.2554321,1244.266357,139.030304,1045.617188,130.852005,1304.785645,1659998216426670.0,0.0,0.0,0.25985944942434414,0.5450705579400542,0.22808152418422223,0.21466488876382997,2.84972756051643,2.041239636473136,1.7153523734815426,2.1405225341756675
2.0,158.288559,1736.930298,332.0416565,1244.255737,139.030304,1045.617188,130.852005,1304.785645,1659998216443336.8,0.0301686883368144,0.01666675,0.25967501155463335,0.5447198555156288,0.22808152418422223,0.21466488876382997,2.849463019009117,2.0412222141866474,1.7153523734815426,2.1405225341756675
3.0,158.3856506,1737.276733,332.0416565,1244.255737,139.0887909,1045.760132,130.852005,1304.785645,1659998216460003.5,0.0301775414273204,0.0333335,0.25983429193794805,0.5447198555156288,0.22817747291563553,0.21466488876382997,2.85003135138384,2.0412222141866474,1.7155868754890549,2.1405225341756675
4.0,158.3856506,1737.276733,332.2554321,1244.266357,139.0887909,1045.760132,130.852005,1304.785645,1659998216476670.0,0.0,0.05,0.25983429193794805,0.5450705579400542,0.22817747291563553,0.21466488876382997,2.85003135138384,2.041239636473136,1.7155868754890549,2.1405225341756675
5.0,158.3856506,1737.276733,332.0416565,1244.255737,139.0471649,1045.795654,130.852005,1304.785645,1659998216493336.8,0.0301707601390554,0.06666675,0.25983429193794805,0.5447198555156288,0.22810918477087475,0.21466488876382997,2.85003135138384,2.0412222141866474,1.7156451499203762,2.1405225341756675
6.0,158.3856506,1737.276733,332.1274109,1244.411865,139.0471649,1045.795654,130.852005,1304.785645,1659998216510003.2,0.0399687862853752,0.08333325,0.25983429193794805,0.5448605370339366,0.22810918477087475,0.21466488876382997,2.85003135138384,2.041478344765258,1.7156451499203762,2.1405225341756675
7.0,158.3856506,1737.276733,332.2554321,1244.266357,139.0833282,1045.891968,130.852005,1304.785645,1659998216526670.0,0.0,0.1,0.25983429193794805,0.5450705579400542,0.2281685112655038,0.21466488876382997,2.85003135138384,2.041239636473136,1.7158031546379684,2.1405225341756675
8.0,158.3856506,1737.276733,332.0416565,1244.255737,139.0833282,1045.891968,130.852005,1304.785645,1659998216543336.8,0.0301761995676465,0.11666675,0.25983429193794805,0.5447198555156288,0.2281685112655038,0.21466488876382997,2.85003135138384,2.0412222141866474,1.7158031546379684,2.1405225341756675
9.0,158.2376251,1737.091553,331.9161987,1244.407959,138.929184,1045.965454,130.852005,1304.785645,1659998216560003.5,0.070737535035911,0.1333335,0.2595914536452394,0.544514039909811,0.2279156351437616,0.21466488876382997,2.84972756051643,2.0414719369073455,1.715923709642194,2.1405225341756675
10.0,158.2376251,1737.091553,332.0416565,1244.255737,138.929184,1045.965454,130.852005,1304.785645,1659998216576670.2,0.0301512687831119,0.15000025,0.2595914536452394,0.5447198555156288,0.2279156351437616,0.21466488876382997,2.84972756051643,2.0412222141866474,1.715923709642194,2.1405225341756675
11.0,158.0340881,1737.337524,332.0416565,1244.255737,138.929184,1045.965454,130.9512177,1304.865845,1659998216593336.8,0.0301512687831119,0.16666675,0.25925754781426397,0.5447198555156288,0.2279156351437616,0.2148276488469442,2.850131080029594,2.0412222141866474,1.715923709642194,2.14065410360847
12.0,158.2014923,1737.191528,332.0416565,1244.255737,139.1899872,1045.930908,130.9512177,1304.865845,1659998216610003.5,0.0301931326767198,0.1833335,0.25953217718636723,0.5447198555156288,0.22834348712751415,0.2148276488469442,2.8498915711653625,2.0412222141866474,1.715867036355092,2.14065410360847
13.0,158.0340881,1737.337524,332.0416565,1244.255737,139.1262665,1045.814819,130.9512177,1304.865845,1659998216626670.0,0.0301833439034026,0.2,0.25925754781426397,0.5447198555156288,0.22823895226022306,0.2148276488469442,2.850131080029594,2.0412222141866474,1.7156765904213693,2.14065410360847
14.0,158.2014923,1737.191528,332.0416565,1244.255737,139.2397308,1045.737305,130.9512177,1304.865845,1659998216643336.8,0.0302017635206597,0.21666675,0.25953217718636723,0.5447198555156288,0.22842509232997713,0.2148276488469442,2.8498915711653625,2.0412222141866474,1.7155494274162049,2.14065410360847
15.0,158.2014923,1737.191528,332.0416565,1244.255737,138.9101868,1045.692627,130.9512177,1304.865845,1659998216660003.5,0.0301492387255721,0.2333335,0.25953217718636723,0.5447198555156288,0.227884469921457,0.2148276488469442,2.8498915711653625,2.0412222141866474,1.715476132414724,2.14065410360847
16.0,158.1819,1737.447754,331.8609314,1244.339478,138.9755707,1045.689331,130.850769,1304.737793,1659998216676670.0,0.069051908389755,0.25,0.259500035692623,0.5444233729857025,0.22799173329598799,0.21466286108528956,2.850311914176449,2.0413595926887957,1.7154707252719499,2.1404440321744405
17.0,158.1819,1737.447754,331.8609314,1244.339478,138.9642792,1045.566284,130.9512177,1304.865845,1659998216693336.8,0.0690408552793707,0.26666675,0.259500035692623,0.5444233729857025,0.22797320940259044,0.2148276488469442,2.850311914176449,2.0413595926887957,1.7152688646235956,2.14065410360847
18.0,158.2150574,1737.355713,332.1245117,1244.522949,138.9642792,1045.566284,130.9512177,1304.865845,1659998216710003.5,0.0563580769020594,0.2833335,0.2595544309583485,0.5448557808481563,0.22797320940259044,0.2148276488469442,2.8501609193863673,2.0416605799133047,1.7152688646235956,2.14065410360847
19.0,158.6952667,1737.441162,331.891571,1244.524048,138.8503418,1045.901367,131.0,1304.5,1659998216726670.0,0.091105809710409,0.3,0.2603422222953468,0.5444736377586861,0.22778629320442412,0.2149076770207818,2.8503010998909,2.0416623828410683,1.7158185738536655,2.140053928806182
20.0,158.6691284,1737.411377,332.1245117,1244.522949,138.8470154,1045.837402,131.0,1304.5,1659998216743336.8,0.0563998370637345,0.31666675,0.260299341979818,0.5448557808481563,0.22778083618994444,0.2149076770207818,2.850252237103418,2.0416605799133047,1.7157136382081648,2.140053928806182
21.0,158.9625244,1737.430664,331.891571,1244.524048,139.0645142,1045.947998,130.850769,1304.737793,1659998216760003.2,0.0911722076067002,0.33333325,0.26078066299361335,0.5444736377586861,0.2281376465858437,0.21466286108528956,2.850283877747439,2.0416623828410683,1.715895072784102,2.1404440321744405
